invention,year,inventor,category,category2,earliest_plausible,earliest_straightforward,actual_location,possible_locations,geographic_flag,geographic_note,confidence
Voltaic Pile,1800,Alessandro Volta,Electrical,,Flag,Flag,Flag,Flag,Flag,Flag,Flag
Arc Lamp,1802,Humphry Davy,Electrical,,1800–1805,1800–1810,"Royal Institution, London, England",England (London; Birmingham); France (Paris); Italy (Pavia); Germany (Berlin; Munich),ALIGNED,The actual location (London) closely matches possible locations. Any well-equipped European natural-philosophy lab with a large voltaic pile could have demonstrated the arc; Davy's priority reflects the Royal Institution's unusually large battery.,High
Isolation of morphine,1804,Friedrich Sertuner,Medical,,1500–1650,1750–1800,"Paderborn, Westphalia, Germany",Germany (Nuremberg; Augsburg; Frankfurt); Italy (Venice; Padua; Bologna); France (Paris; Montpellier); Netherlands (Leiden; Amsterdam); Switzerland (Basel); England (London); Ottoman/Persian apothecary centers,ALIGNED,The actual location (a small German apothecary shop) is one of many plausible sites — any well-equipped European apothecary or alchemical workshop with access to opium could have attempted this. The German origin reflects the strong apothecary-chemistry tradition rather than unique geographic necessity.,Medium
Jacquard Loom,1804,Joseph-Marie Jacquard,Mechanical,,1500–1600,1725–1750,"Lyon, France",France (Lyon; Tours); Italy (Florence; Venice; Genoa; Milan); Flanders (Bruges; Brussels); Ottoman Bursa; Ming/Qing China (Suzhou; Nanjing),ALIGNED,"The actual location (Lyon) was the dominant European silk-weaving center by 1800, but at the earliest plausible date Italian silk cities and Chinese drawloom centers were equally or more capable. The French origin reflects 18th-century patronage concentration and prior incremental work by Bouchon, Falcon, and Vaucanson, not a unique technical prerequisite.",Medium
High-pressure steam locomotive,1804,Richard Trevithick,Mechanical,,1750–1770,1790–1800,"Pen-y-darren ironworks, Merthyr Tydfil, Wales, UK",Britain (Cornwall; South Wales; Coalbrookdale; Newcastle/Tyneside; Birmingham); France (Paris; Le Creusot); Belgium (Liège); German Rhineland/Saxony; Sweden (Bergslagen),ALIGNED,The actual Welsh ironworks location aligns closely with the densest cluster of plausible locations — British coal-and-iron districts. Continental ironworks (especially Le Creusot and Liège) had broadly comparable capability by mid-18th century but lacked the same colliery tramway demand pull.,Medium
General anaesthetic,1804,Hanaoka Seishu,Medical,,200 BC–200 AD,1500–1700,"Kii Province, Japan",China (Han dynasty medical centers); Japan (Kampo tradition; post-Tang transmission); India (Ayurvedic centers — Taxila; Kashi); Hellenistic/Roman Mediterranean (Alexandria; Rome); Persian/Islamic medical centers (Gondishapur; Baghdad; Cordoba),MISMATCH,"The actual location (early 19th-century Japan) is much later than the earliest plausible window. Equivalent botanical pharmacopoeias existed in Han China, Ayurvedic India, and Greco-Roman medicine — any of which had the prerequisites for a working surgical anaesthetic preparation centuries earlier.",Medium
"Internal combustion engine ""Pyreolophore""",1807,Nicéphore & Claude Niépce,Mechanical,Chemical,1660–1690,1690–1750,"Chalon-sur-Saône, France",France; Netherlands; England; Italy; Germany,ALIGNED,"The earliest-plausible window aligns with the Royal Society/Académie des Sciences milieu where Huygens and Papin demonstrated gunpowder piston engines; France, the Netherlands, and England are all plausible venues, matching the actual French origin.",Medium
Commercial steamboat,1807,Robert Fulton,Mechanical,,1720–1740,1780–1800,"Hudson River, New York, USA (Fulton)",England (London; Birmingham; Newcastle); Scotland (Clyde); France (Paris; Lyon); Netherlands,MISMATCH,"The actual American location reflects commercial opportunity (long navigable rivers, scarce roads) more than unique technical capability; Britain and France had equal or superior engine-building capacity earlier.",Medium
Wrist Watch,1810,Abraham-Louis Breguet,Mechanical,,1500–1550,1700–1750,"Paris, France (Breguet workshop)",Southern Germany (Nuremberg; Augsburg); France (Paris; Blois); Switzerland (Geneva); Italy (Milan; Florence); Flanders,ALIGNED,Actual location (Paris) sits squarely within the cluster of European horological centers; no meaningful mismatch.,Medium
Cylinder steam printing press,1811,Friedrich Koenig,Mechanical,,1790–1800,1800–1811,"London, England (Koenig was German, built it in London)",England; France; Germany (Saxony); Netherlands,ALIGNED,"Strong match — late-18th-century England had the steam engines, precision machining, and high-volume printing demand that drove Koenig's development. France and German states had the printing tradition but lacked the mature steam-engine industry.",Medium
